Date,Time,CO2_room,Relative_humidity_room,Lighting_room,Meteo_Rain,Meteo_Sun_dusk,Meteo_Wind,Meteo_Sun_light_in_west_facade,Meteo_Sun_light_in_east_facade,Meteo_Sun_light_in_south_facade,Meteo_Sun_light_in_north_facade,Meteo_Sun_irradiance,Outdoor_relative_humidity_Sensor,Day_of_the_week,Occupancy 1,Occupancy 2,Occupancy 3,Indoor_temperature_room,humidity,outside temp,satisfaction,Datetime
4/10/2012,00:00:00,198.091,50.632,13.0213,0,0.65,0.0,0,0.0,0.0,0.0,-3.512,69.032,1.06667,0,1,0,19.48844666,69.032,19.48844666,91.66963263,2012-10-04 00:00:00
4/10/2012,00:15:00,198.048,50.68,13.0213,0,0.65,0.176,0,0.0,0.0,0.0,-3.512,69.488,2.0,0,1,0,19.9867,69.488,19.30558291,92.27596431,2012-10-04 00:15:00
4/10/2012,00:30:00,198.443,50.608,13.362,0,0.65,0.0826667,0,0.0,0.0,0.0,-3.38133,69.5893,2.0,0,1,0,19.908,69.5893,19.08643202,92.32140338,2012-10-04 00:30:00
4/10/2012,00:45:00,198.037,50.4667,13.184,0,0.65,0.0,0,0.0,0.0,0.0,-3.44667,69.7573,2.0,0,1,0,19.8133,69.7573,18.89954463,92.28793779,2012-10-04 00:45:00
4/10/2012,01:00:00,198.923,50.448,13.0213,0,0.694,0.308,0,0.0,0.0,0.0,-3.316,70.1147,2.0,0,1,0,19.7147,70.1147,18.72449175,92.17156515,2012-10-04 01:00:00
4/10/2012,01:15:00,198.443,50.6453,13.2653,0,0.65,0.0,0,0.0,0.0,0.0,-3.44667,70.2133,2.0,0,1,0,19.6293,70.2133,18.5402897,92.05150608,2012-10-04 01:15:00
4/10/2012,01:30:00,198.421,50.912,13.2,0,0.65,0.0,0,0.0,0.0,0.0,-3.316,70.1787,2.0,0,1,0,19.56,70.1787,18.39320247,91.94034132,2012-10-04 01:30:00
4/10/2012,01:45:00,198.987,50.7413,13.2653,0,0.65,0.044,0,0.0,0.0,0.0,-3.512,70.6773,2.0,0,1,0,19.4613,70.6773,18.29012118,91.7450603,2012-10-04 01:45:00
4/10/2012,02:00:00,199.541,51.024,13.3467,0,0.65,0.0,0,0.0,0.0,0.0,-3.57733,70.616,2.0,0,1,0,19.3813,70.616,18.14866182,91.59091748,2012-10-04 02:00:00
4/10/2012,02:15:00,200.768,51.0133,12.5,0,0.65,0.0,0,0.0,0.0,0.0,-3.316,70.7893,2.0,0,1,0,19.332,70.7893,18.00727974,91.36288611,2012-10-04 02:15:00
4/10/2012,02:30:00,201.621,51.136,14.1427,0,0.65,0.0,0,0.0,0.0,0.0,-3.38133,71.0027,2.0,0,1,0,19.2767,71.0027,17.84838449,91.06733004,2012-10-04 02:30:00
4/10/2012,02:45:00,202.731,51.1867,13.2653,0,0.65,0.0,0,0.0,0.0,0.0,-3.12,71.1627,2.0,0,1,0,19.18,71.1627,17.76994446,90.89721628,2012-10-04 02:45:00
4/10/2012,03:00:00,202.336,51.0533,12.7273,0,0.65,0.160667,0,0.0,0.0,0.0,-3.38133,71.456,2.0,0,1,0,19.12,71.456,17.63126907,90.57193174,2012-10-04 03:00:00
4/10/2012,03:15:00,204.427,50.952,13.2653,0,0.65,0.290667,0,0.0,0.0,0.0,-3.44667,71.9413,2.0,0,1,0,19.0153,71.9413,17.55896249,90.32856443,2012-10-04 03:15:00
4/10/2012,03:30:00,205.024,51.096,13.2653,0,0.65,0.181333,0,0.0,0.0,0.0,-3.57733,71.856,2.0,0,1,0,18.942,71.856,17.55926506,90.34521214,2012-10-04 03:30:00
4/10/2012,03:45:00,204.779,51.3413,14.4027,0,0.65,0.0,0,0.0,0.0,0.0,-3.57733,71.632,2.0,0,1,0,18.8773,71.632,17.53924576,90.34364779,2012-10-04 03:45:00
4/10/2012,04:00:00,203.968,51.352,13.3467,0,0.65,0.111333,0,0.0,0.0,0.0,-3.64267,71.5813,2.0,0,1,0,18.7753,71.5813,17.51268765,90.29443273,2012-10-04 04:00:00
4/10/2012,04:15:00,205.408,51.5467,12.744,0,0.694,0.0,0,0.0,0.0,0.0,-3.512,71.5493,2.0,0,1,0,18.7467,71.5493,17.44473999,90.14538098,2012-10-04 04:15:00
4/10/2012,04:30:00,205.504,51.6853,14.4027,0,0.694,0.15,0,0.0,0.0,0.0,-3.44667,71.8587,2.0,0,1,0,18.684,71.8587,17.46992399,90.14564429,2012-10-04 04:30:00
4/10/2012,04:45:00,205.12,51.7653,13.1027,0,0.738,0.0,0,0.0,0.0,0.0,-3.708,71.864,2.0,0,1,0,18.6,71.864,17.43280887,90.05843398,2012-10-04 04:45:00
4/10/2012,05:00:00,204.533,51.2667,13.3467,0,1.09,1.09533,0,0.0,0.0,0.0,-3.44667,72.208,2.0,0,1,0,18.5433,72.208,17.39583921,89.90600112,2012-10-04 05:00:00
4/10/2012,05:15:00,205.909,51.6107,12.956,0,3.24467,0.405333,0,0.0,0.0,0.0,-3.316,72.6667,2.0,0,1,0,18.492,72.6667,17.40893663,89.85138177,2012-10-04 05:15:00
4/10/2012,05:30:00,206.091,51.896,13.428,0,52.068,0.197333,0,0.0,0.0,0.0,-3.38133,72.696,2.0,0,1,0,18.4167,72.696,17.46955936,89.98781359,2012-10-04 05:30:00
4/10/2012,05:45:00,205.579,51.9467,13.428,0,368.373,0.187333,0,0.0,0.0,0.0,-1.11867,72.944,2.0,0,1,0,18.328,72.944,17.46094987,89.92149351,2012-10-04 05:45:00
4/10/2012,06:00:00,205.92,51.832,15.5253,0,612.373,0.234,0,0.0,0.0,0.0,4.02,73.0427,2.0,0,1,0,18.31,73.0427,17.47720865,89.94032364,2012-10-04 06:00:00
4/10/2012,06:15:00,205.632,52.0587,23.44,0,613.76,0.0413333,0,688.128,709.632,602.112,15.6993,72.752,2.0,0,1,0,18.2433,72.752,17.52151515,90.09456192,2012-10-04 06:15:00
4/10/2012,06:30:00,205.429,52.0507,23.2427,0,613.76,0.0,0,1662.98,2064.38,1705.98,28.468,72.376,2.0,0,1,0,18.216,72.376,17.59055175,83.08624698,2012-10-04 06:30:00
4/10/2012,06:45:00,205.216,52.0667,23.3413,0,614.272,0.0,0,2351.1,2644.99,2315.26,38.96,72.0427,2.0,0,1,0,18.1647,72.0427,17.62099543,83.30373982,2012-10-04 06:45:00
4/10/2012,07:00:00,204.587,51.9467,23.44,0,614.4,0.078,0,4014.08,4501.5,4164.61,70.8107,72.2373,2.0,0,1,0,18.14,72.2373,17.67244039,83.52601651,2012-10-04 07:00:00
4/10/2012,07:15:00,204.928,51.992,23.44,0,615.104,0.0,0,5282.82,6429.7,5884.93,99.9573,71.992,2.0,0,1,0,18.11,71.992,17.73926604,83.90221052,2012-10-04 07:15:00
4/10/2012,07:30:00,204.587,52.152,23.44,0,615.616,0.163333,0,7153.66,9152.17,8128.51,136.064,71.736,2.0,0,1,0,18.1067,71.736,17.73312145,83.9201284,2012-10-04 07:30:00
4/10/2012,07:45:00,204.256,52.3627,25.3427,0,616.043,0.609333,0,8629.93,12951.2,10916.2,164.155,71.4507,2.0,0,1,0,18.0867,71.4507,17.73461294,83.98092928,2012-10-04 07:45:00
4/10/2012,08:00:00,203.115,52.3973,35.0467,0,616.64,0.555333,0,10742.8,16642.0,13937.3,208.789,70.7787,2.0,0,1,0,18.12,70.7787,17.81134467,84.47835165,2012-10-04 08:00:00
4/10/2012,08:15:00,203.093,52.2933,38.1893,0,616.683,0.634,0,10986.8,15021.4,13006.8,218.72,69.9867,2.0,0,1,0,18.1567,69.9867,17.944989,85.25267461,2012-10-04 08:15:00
4/10/2012,08:30:00,202.773,52.1387,44.432,0,617.152,0.75,0,11358.2,15272.6,13573.5,226.176,69.192,2.0,0,1,0,18.2033,69.192,18.1010716,86.09866059,2012-10-04 08:30:00
4/10/2012,08:45:00,201.632,51.7253,64.5813,0,617.707,1.072,0,14864.4,31478.4,26658.1,345.44,68.7067,2.0,0,1,0,18.2907,68.7067,18.15054214,86.40293618,2012-10-04 08:45:00
4/10/2012,09:00:00,200.277,51.0933,101.795,0,619.925,1.11,0,18843.0,48204.5,41061.0,492.096,67.8,2.0,0,1,0,18.448,67.8,18.2576574,87.02216781,2012-10-04 09:00:00
4/10/2012,09:15:00,200.085,50.7173,79.9147,0,620.096,1.14733,0,16685.1,32370.7,30522.0,388.16,67.424,2.0,0,1,0,18.614,67.424,18.36086687,87.50923223,2012-10-04 09:15:00
4/10/2012,09:30:00,200.352,50.7493,66.3467,0,619.371,0.745333,0,14972.2,28885.0,29199.0,361.451,66.8533,2.0,0,1,0,18.73,66.8533,18.45010602,87.96353675,2012-10-04 09:30:00
4/10/2012,09:45:00,199.008,50.7573,98.72,0,620.651,0.829333,0,16138.9,39276.5,41648.1,476.117,66.44,2.0,0,1,0,18.8727,66.44,18.59880182,88.59318547,2012-10-04 09:45:00
4/10/2012,10:00:00,199.36,50.5227,113.872,0,621.888,1.09133,0,15558.7,49153.4,56300.9,596.245,65.7867,2.0,0,1,0,19.0807,65.7867,18.81389758,89.45571092,2012-10-04 10:00:00
4/10/2012,10:15:00,198.987,50.32,124.768,0,622.357,1.76467,0,14040.4,46531.9,63993.2,639.36,63.5813,2.0,0,1,0,19.3387,63.5813,18.94425807,90.2839501,2012-10-04 10:15:00
4/10/2012,10:30:00,197.963,50.1867,127.131,0,622.613,3.57733,0,14140.8,42150.6,64105.1,692.821,56.296,2.0,0,1,0,19.6147,56.296,19.12513899,92.18317214,2012-10-04 10:30:00
4/10/2012,10:45:00,196.363,49.9733,115.728,0,621.931,3.50867,0,14942.9,33157.1,62133.6,632.939,51.8613,2.0,0,1,0,19.8913,51.8613,19.34224798,93.58989994,2012-10-04 10:45:00
4/10/2012,11:00:00,195.349,49.6907,146.181,0,623.04,4.40733,0,19893.6,32929.8,81267.4,898.112,49.7947,2.0,0,1,0,20.2293,49.7947,19.56938897,94.4265203,2012-10-04 11:00:00
4/10/2012,11:15:00,194.987,49.2133,140.827,0,623.509,4.21067,0,20381.7,28343.0,79612.6,910.741,42.7227,2.0,0,1,0,20.626,42.7227,19.79705124,93.55019196,2012-10-04 11:15:00
4/10/2012,11:30:00,193.515,49.008,55.1613,0,621.291,4.42267,0,14985.9,17291.3,29867.3,369.525,42.2667,2.0,0,1,0,20.908,42.2667,19.924062,93.68177432,2012-10-04 11:30:00
4/10/2012,11:45:00,193.525,49.1573,66.1667,0,620.139,2.78933,0,10199.0,13589.5,38714.7,451.403,46.8373,2.0,0,1,0,21.0733,46.8373,20.05964521,94.7437934,2012-10-04 11:45:00
4/10/2012,12:00:00,193.824,48.7067,142.8,0,622.272,4.32267,0,12012.2,13473.8,80082.3,924.715,40.8613,2.0,0,1,0,21.3707,40.8613,20.28345421,93.90141535,2012-10-04 12:00:00
4/10/2012,12:15:00,193.675,48.0133,140.315,0,622.997,4.69333,0,14884.9,14111.4,77957.8,943.147,30.66,2.0,0,1,0,21.7173,30.66,20.50882783,92.19281242,2012-10-04 12:15:00
